token,coefficient,absolute_coefficient
clich,-1.5990696192468903,1.5990696192468903
sadly,-1.598175578962926,1.598175578962926
cheap,-1.5859786470538872,1.5859786470538872
turkey,-1.5835606202042554,1.5835606202042554
sit enjoy,1.579724662771224,1.579724662771224
okay,-1.5747611580482603,1.5747611580482603
bored,-1.5716848628624962,1.5716848628624962
talented actor,-1.5630754176793022,1.5630754176793022
love,1.561920727908786,1.561920727908786
unique,1.5600692732422803,1.5600692732422803
sucked,-1.5576571380110593,1.5576571380110593
propaganda,-1.5550182274872169,1.5550182274872169
unintentionally,-1.553844395045715,1.553844395045715
crap,-1.5485956341986147,1.5485956341986147
doesn make,-1.5413972712587996,1.5413972712587996
insult,-1.5409255761162937,1.5409255761162937
offensive,-1.5377157973694724,1.5377157973694724
isn funny,-1.53512239459371,1.53512239459371
appreciated,1.527486141239045,1.527486141239045
eerie,1.525751355605213,1.525751355605213
painful,-1.5254203118811267,1.5254203118811267
fast forward,-1.5243108997747699,1.5243108997747699
solid,1.5242368999952276,1.5242368999952276
bit,1.5237007750357767,1.5237007750357767
enjoy,1.5202248507159357,1.5202248507159357
entertains,1.5086412208908633,1.5086412208908633
dvd cover,-1.504704024795776,1.504704024795776
notch,1.498611978922659,1.498611978922659
unremarkable,-1.4899304069176686,1.4899304069176686
ruined,-1.478989200584643,1.478989200584643
unappealing,-1.4778071577850687,1.4778071577850687
realistic,1.4748278528841028,1.4748278528841028
irritating,-1.4726979874593924,1.4726979874593924
barely,-1.4686239252045432,1.4686239252045432
fighter,-1.4671488403718527,1.4671488403718527
scared,1.4643252792159782,1.4643252792159782
yawn,-1.460600259965422,1.460600259965422
doesn work,-1.4603224937929276,1.4603224937929276
shelf,-1.4568846313866757,1.4568846313866757
point,-1.4554128676281046,1.4554128676281046
chance,1.4529552269175192,1.4529552269175192
repetitive,-1.4527552518817997,1.4527552518817997
cope,1.4523859122033955,1.4523859122033955
eisenstein,1.451644476907566,1.451644476907566
tolerable,-1.4492139653613934,1.4492139653613934
tiresome,-1.448277912773668,1.448277912773668
unexpected,1.444850383001899,1.444850383001899
ludicrous,-1.4340366703824592,1.4340366703824592
wasn funny,-1.4259981697047328,1.4259981697047328
lifeless,-1.425832756190627,1.425832756190627
remotely,-1.4227394071576047,1.4227394071576047
rainy,-1.4222457927235195,1.4222457927235195
plenty,1.4218595299749388,1.4218595299749388
email,1.4201413768905358,1.4201413768905358
wayans,-1.4201326201999922,1.4201326201999922
shallow,-1.4163386247193044,1.4163386247193044
plummer,-1.4163075622494599,1.4163075622494599
pass,-1.415960296212444,1.415960296212444
director,-1.4153014434811857,1.4153014434811857
obnoxious,-1.4152026627476944,1.4152026627476944
liked,1.4127834096791818,1.4127834096791818
adds,1.4110685756096342,1.4110685756096342
depp,-1.4106493711776775,1.4106493711776775
performances,1.408045548137876,1.408045548137876
dull moment,1.407335331773527,1.407335331773527
seagal,-1.4069975780457844,1.4069975780457844
potential,-1.404135676200642,1.404135676200642
fears,1.403702554704488,1.403702554704488
worthless,-1.400163833425006,1.400163833425006
boredom,-1.3966727625084914,1.3966727625084914
deliciously,1.3955787266633812,1.3955787266633812
hollow,-1.3955502407650822,1.3955502407650822
love movie,1.3942112855615765,1.3942112855615765
inappropriate,-1.393832964854305,1.393832964854305
basically,-1.392547230928914,1.392547230928914
haunting,1.3917993916786175,1.3917993916786175
attempt,-1.390827075488551,1.390827075488551
kitty,1.3904158801128081,1.3904158801128081
unlikeable,-1.3901823636616732,1.3901823636616732
dimensional,-1.3882664735600865,1.3882664735600865
idea,-1.3874086366588678,1.3874086366588678
silly,-1.3863049875052265,1.3863049875052265
bother,-1.3823105269450187,1.3823105269450187
fascinating,1.381985289869723,1.381985289869723
endless,-1.3812227895499594,1.3812227895499594
guess,-1.3809484672328194,1.3809484672328194
hype,-1.3809043477358816,1.3809043477358816
mistake,-1.380875036475046,1.380875036475046
minutes long,1.3808434680958144,1.3808434680958144
box,-1.3803016712625105,1.3803016712625105
glad did,1.37929670740187,1.37929670740187
ideal,1.3789697101144942,1.3789697101144942
harold,-1.3774390104813987,1.3774390104813987
disappoint,1.3772613712012955,1.3772613712012955
apparently,-1.3771280657313028,1.3771280657313028
chilling,1.373826875335403,1.373826875335403
unconvincing,-1.3699765719161678,1.3699765719161678
olds,-1.3664838675090056,1.3664838675090056
strictly,-1.3638537220894908,1.3638537220894908
masterpiece,1.3636819967870917,1.3636819967870917
maturity,1.3600081976603808,1.3600081976603808
kudos,1.3584446046522103,1.3584446046522103
saving,-1.356756592637928,1.356756592637928
failed,-1.353474342115604,1.353474342115604
just,-1.3531464253601888,1.3531464253601888
thanks,1.3518921067963965,1.3518921067963965
proceedings,-1.3516934987272686,1.3516934987272686
absurd,-1.3506637347093864,1.3506637347093864
wouldn recommend,-1.3473930494663926,1.3473930494663926
stunning,1.346276244198113,1.346276244198113
unlike,1.3450043935226481,1.3450043935226481
money,-1.3439937487502691,1.3439937487502691
astonishing,1.3429168781059424,1.3429168781059424
gorgeous,1.3418091926593219,1.3418091926593219
stereotyped,-1.3392527628936015,1.3392527628936015
expecting,1.3392000076880068,1.3392000076880068
beautiful,1.3357088616526587,1.3357088616526587
captures,1.3353847750328582,1.3353847750328582
scary movie,-1.3343259703923063,1.3343259703923063
reason,-1.3334466882621279,1.3334466882621279
pretty good,1.331436989225831,1.331436989225831
embarrassing,-1.3310141709871723,1.3310141709871723
joke,-1.3279608472753714,1.3279608472753714
hoot,1.3275078481351765,1.3275078481351765
pleased,1.3233546824934148,1.3233546824934148
tight,1.3225008255010227,1.3225008255010227
cried,1.3224238110935114,1.3224238110935114
miscast,-1.3212335398172368,1.3212335398172368
sweet,1.3203524349423856,1.3203524349423856
pay attention,1.319409447680118,1.319409447680118
johnny depp,-1.3193169203078983,1.3193169203078983
clubs,1.3192899225838275,1.3192899225838275
generous,-1.3185093439763063,1.3185093439763063
makes great,1.3172385816591659,1.3172385816591659
favourite,1.314041671970982,1.314041671970982
loved movie,1.3139748886135125,1.3139748886135125
wasn disappointed,1.3125479409220793,1.3125479409220793
good,1.3118225789092917,1.3118225789092917
pleasure,1.3102017950454674,1.3102017950454674
sole,-1.3091407729666118,1.3091407729666118
pitiful,-1.3085820973354825,1.3085820973354825
disaster,-1.307730765361652,1.307730765361652
worst movie,-1.3069202134239128,1.3069202134239128
fell love,1.3056924675448076,1.3056924675448076
supposedly,-1.3049423328779972,1.3049423328779972
revolting,-1.3044861818078413,1.3044861818078413
make good,-1.3043490238374,1.3043490238374
look good,-1.3041899050332533,1.3041899050332533
movie means,1.3016860684130216,1.3016860684130216
distant,1.3002167043542767,1.3002167043542767
bad film,-1.2999542094946643,1.2999542094946643
year olds,-1.2994868708678144,1.2994868708678144
edinburgh,-1.2976918644004556,1.2976918644004556
seen,1.295404407254712,1.295404407254712
don miss,1.2954001697618032,1.2954001697618032
favorites,1.2914951451586993,1.2914951451586993
raw,1.2910971156399589,1.2910971156399589
couldn,-1.2888640073566133,1.2888640073566133
fun way,-1.2879737023075328,1.2879737023075328
recommended,1.2878969516023355,1.2878969516023355
incomprehensible,-1.2878047380323183,1.2878047380323183
skit,1.2875917902949505,1.2875917902949505
don want,1.2868701736583223,1.2868701736583223
just enjoy,1.2858396103891612,1.2858396103891612
unpleasant,-1.2854683031995269,1.2854683031995269
katharine,-1.2850302285971713,1.2850302285971713
glorious,1.282451408926056,1.282451408926056
unintentionally funny,-1.2794904105608105,1.2794904105608105
good thing,-1.2773505957946958,1.2773505957946958
little film,1.2757324835393302,1.2757324835393302
cheers,1.2746120168719128,1.2746120168719128
looking forward,-1.27400919055661,1.27400919055661
bravo,1.273055365026966,1.273055365026966
definitely worth,1.2718321942399085,1.2718321942399085
disgrace,-1.2712561754975158,1.2712561754975158
midget,-1.268587432051106,1.268587432051106
just doesn,-1.2656541240977994,1.2656541240977994
happy days,-1.2642476280841046,1.2642476280841046
sands,-1.262012318658257,1.262012318658257
look forward,1.2613931742597722,1.2613931742597722
mason,-1.261140519959395,1.261140519959395
credibility,-1.2589634092995101,1.2589634092995101
marvelous,1.257846424610421,1.257846424610421
disappointing film,-1.255066626747272,1.255066626747272
stunk,-1.2527771036849562,1.2527771036849562
guts,1.2522357249009979,1.2522357249009979
available,1.2522126302951149,1.2522126302951149
ways,1.2500225245766332,1.2500225245766332
unnecessary,-1.248826937562112,1.248826937562112
garbage,-1.2481316351995944,1.2481316351995944
material,-1.2468173638861308,1.2468173638861308
leonard,-1.2458861729751547,1.2458861729751547
highly,1.2458818070457764,1.2458818070457764
tends,1.2436857287564045,1.2436857287564045
bimbo,1.2434453624320738,1.2434453624320738
really just,-1.243257636563717,1.243257636563717
human,1.2417292992313511,1.2417292992313511
unimaginative,-1.2411268553733217,1.2411268553733217
job,1.2409810918777353,1.2409810918777353
paths,1.2390761841805893,1.2390761841805893
vance,1.2387560355163707,1.2387560355163707
value,-1.2359754002450392,1.2359754002450392
great job,1.2351610314256818,1.2351610314256818
unbearable,-1.2331300228309687,1.2331300228309687
canceled,1.2324137031788005,1.2324137031788005
unforgettable,1.231873805980135,1.231873805980135
outstanding,1.2307614307863413,1.2307614307863413
grant,-1.2304713355796524,1.2304713355796524
nonetheless,1.2303744818112536,1.2303744818112536
ugly,-1.2300856222975134,1.2300856222975134
exceptional,1.2254229223582962,1.2254229223582962
different characters,1.2239081269252503,1.2239081269252503
works,1.2230581752027918,1.2230581752027918
screaming,-1.2218435458673906,1.2218435458673906
slimy,1.2212690082234634,1.2212690082234634
ruins,-1.2208789224712524,1.2208789224712524
cheer,1.2196369218402796,1.2196369218402796
matthau,1.2143534998526104,1.2143534998526104
complain,1.2133738964948,1.2133738964948
extraordinary,1.211334866259018,1.211334866259018
slightest,-1.2101925760843086,1.2101925760843086
facing,1.209780745375544,1.209780745375544
different,1.2096471726508924,1.2096471726508924
future,1.2067352974209336,1.2067352974209336
fortunate,1.2050055709953695,1.2050055709953695
drags,-1.2050032483228528,1.2050032483228528
frankly,-1.2014388093012083,1.2014388093012083
favorite movies,1.2012445215622043,1.2012445215622043
marvel,1.2003383234695058,1.2003383234695058
bloodbath,1.1994653214616997,1.1994653214616997
plot,-1.1977206726660714,1.1977206726660714
poor film,-1.1964932301061597,1.1964932301061597
animal,-1.1956584906830148,1.1956584906830148
begotten,1.195240457361531,1.195240457361531
movie disappointing,-1.1941884589351943,1.1941884589351943
blatantly,-1.1936929543029005,1.1936929543029005
kronk,-1.1921000824044932,1.1921000824044932
worst movies,-1.1910684756210055,1.1910684756210055
story told,1.1902587088305052,1.1902587088305052
ratio sound,-1.1892070580963665,1.1892070580963665
blew away,1.188617320646866,1.188617320646866
weak points,1.1882307269902976,1.1882307269902976
atmosphere,1.1879989612726634,1.1879989612726634
eastwood,1.1877128415483118,1.1877128415483118
whatsoever,-1.1873183849329616,1.1873183849329616
excuse,-1.1868689913630264,1.1868689913630264
vapid,-1.1862595249493635,1.1862595249493635
turtle,-1.1859121583648764,1.1859121583648764
deeper,1.185309072372926,1.185309072372926
satanic,-1.1849320245376223,1.1849320245376223
grade,-1.184455350318144,1.184455350318144
shows,1.18357783464983,1.18357783464983
traditional,1.183079023633688,1.183079023633688
desmond,1.1829352059355684,1.1829352059355684
behave,-1.182225523446788,1.182225523446788
photograph,1.1810659467947098,1.1810659467947098
alleged,-1.1804449623610773,1.1804449623610773
bad say,1.1802063336405442,1.1802063336405442
surprisingly,1.1788516747696762,1.1788516747696762
excellently,1.1788246000816567,1.1788246000816567
artsy,-1.1780107644140942,1.1780107644140942
time really,-1.1764421670087606,1.1764421670087606
hill,-1.174709474876208,1.174709474876208
shoddy,-1.1744820114952,1.1744820114952
plot actually,1.1724999733664483,1.1724999733664483
nixon,-1.1717943354720415,1.1717943354720415
tragic,1.170604463424527,1.170604463424527
make laugh,1.1695293663813866,1.1695293663813866
crazy,1.169449664539722,1.169449664539722
horrid,-1.1686469548216385,1.1686469548216385
light,1.1664794486533843,1.1664794486533843
asleep,-1.1664611074070275,1.1664611074070275
timeless,1.1658657044478702,1.1658657044478702
lack,-1.1652500336207896,1.1652500336207896
worst film,-1.1624829184002465,1.1624829184002465
spectacular,1.1616822541141945,1.1616822541141945
tries hard,-1.1602204958908147,1.1602204958908147
boll,-1.158899733802423,1.158899733802423
memorable,1.158738034349928,1.158738034349928
unbelievable,-1.1576185759246516,1.1576185759246516
subtitles,1.1564192251752692,1.1564192251752692
suspenseful,1.1550156304681918,1.1550156304681918
better expected,1.15491493110862,1.15491493110862
suspense good,1.1548057537627567,1.1548057537627567
lifeforce,1.154770369748876,1.154770369748876
yep,-1.1542855074714802,1.1542855074714802
choreographed,1.1539151831123902,1.1539151831123902
wonder,-1.1532844072721058,1.1532844072721058
dumb,-1.152151211457222,1.152151211457222
mystery science,-1.1520232453524184,1.1520232453524184
sub par,-1.150966670543901,1.150966670543901
sound format,-1.1509176203672111,1.1509176203672111
everyday,1.1501587134120794,1.1501587134120794
honestly,-1.1498506089019573,1.1498506089019573
tasteless,-1.1498142807375755,1.1498142807375755
painfully,-1.1492292098493269,1.1492292098493269
times movie,-1.1487377893084256,1.1487377893084256
stinks,-1.1483081058492406,1.1483081058492406
pretty sure,-1.147398066712138,1.147398066712138
jokes gags,1.1468683328789637,1.1468683328789637
example,-1.1466545206406993,1.1466545206406993
time course,1.146212577639649,1.146212577639649
delicious,1.1456064112993203,1.1456064112993203
noir,1.145511641212457,1.145511641212457
stupidest,-1.1436767250260147,1.1436767250260147
tripe,-1.1436666850550388,1.1436666850550388
nice shots,-1.143157349998669,1.143157349998669
trying,-1.1419709436808037,1.1419709436808037
pleasant,1.141105436693543,1.141105436693543
attribute,-1.1409076113807732,1.1409076113807732
liners,1.1400450800582056,1.1400450800582056
nicely,1.1389234748824133,1.1389234748824133
criticisms,1.1387304710637915,1.1387304710637915
paper,-1.1368041467338843,1.1368041467338843
low rating,1.1354442681811774,1.1354442681811774
bush,-1.135369092480165,1.135369092480165
justin,1.1353372323313957,1.1353372323313957
genius,1.1345462441274854,1.1345462441274854
attempted,-1.13428782985927,1.13428782985927
lacked,-1.1340592423223692,1.1340592423223692
unpretentious,1.132868707702848,1.132868707702848
arbitrary,-1.13048605775973,1.13048605775973
bad reviews,1.1291220077749717,1.1291220077749717
bugs,1.1257518667879756,1.1257518667879756
illusions,1.123861074892476,1.123861074892476
hackneyed,-1.1238014005884536,1.1238014005884536
cats,1.1235366870293384,1.1235366870293384
wax,1.1235145692308959,1.1235145692308959
autopsy,-1.1234596123135716,1.1234596123135716
executed,1.121805849598496,1.121805849598496
truly,1.1214416205088897,1.1214416205088897
irwin,-1.1213739735128043,1.1213739735128043
alas,-1.1210135937477925,1.1210135937477925
thank,1.1210078309991605,1.1210078309991605
lohan,-1.1203269816059038,1.1203269816059038
poisoning,1.1199636216089714,1.1199636216089714
far great,-1.118983906059087,1.118983906059087
disappointed film,-1.1184118121568305,1.1184118121568305
drawback,1.1174742396462956,1.1174742396462956
doesn help,-1.1171694348922583,1.1171694348922583
plodding,-1.115840287096923,1.115840287096923
succeeds,1.1154791342285875,1.1154791342285875
ashamed,-1.1153475324674769,1.1153475324674769
original,-1.11483711895629,1.11483711895629
make,-1.114785335542442,1.114785335542442
bearable,-1.1141100935255204,1.1141100935255204
secondly,-1.112908664938011,1.112908664938011
baldwin,-1.1125888606045204,1.1125888606045204
pretty funny,1.111874747876668,1.111874747876668
plans,1.1117411612619001,1.1117411612619001
victims,-1.1087995515309377,1.1087995515309377
kersey,1.1058640461739166,1.1058640461739166
programming,-1.1056875603566836,1.1056875603566836
embarrassment,-1.1042224059219692,1.1042224059219692
greatest,1.100697794942466,1.100697794942466
better did,-1.1006569773931862,1.1006569773931862
flat,-1.100429181247,1.100429181247
criticized,1.100357313357467,1.100357313357467
promising,-1.1000764602433017,1.1000764602433017
just bad,-1.0995440052872327,1.0995440052872327
evans,1.0991289763319607,1.0991289763319607
quite interesting,-1.0983894502503384,1.0983894502503384
takes away,-1.0979265924085573,1.0979265924085573
riveting,1.0974366977847543,1.0974366977847543
courage,1.0959665240109806,1.0959665240109806
rocked,1.0959531752354141,1.0959531752354141
really good,1.095865260003187,1.095865260003187
greatly,1.0945518528329485,1.0945518528329485
highly entertaining,1.0943811920741402,1.0943811920741402
detract,1.0940968577060377,1.0940968577060377
existenz,1.0933826080118412,1.0933826080118412
based true,1.0932669785049465,1.0932669785049465
batman,1.092867159728206,1.092867159728206
removed,-1.0926259124945612,1.0926259124945612
jackass,1.0918821550230156,1.0918821550230156
stay away,-1.0912655431301432,1.0912655431301432
film end,-1.0911966544173601,1.0911966544173601
wanted like,-1.09039045884776,1.09039045884776
horribly,-1.0902772408192967,1.0902772408192967
suppose,-1.0885060399815627,1.0885060399815627
remote,-1.0882360984615724,1.0882360984615724
barber,1.0881375373371684,1.0881375373371684
won disappointed,1.0879071472283388,1.0879071472283388
ethan,-1.0873892965881464,1.0873892965881464
mia,-1.0873551282602198,1.0873551282602198
genre horror,-1.0866154579753924,1.0866154579753924
absorbing,1.0864966859071472,1.0864966859071472
awfulness,-1.086353287385756,1.086353287385756
pitt,1.08603246602033,1.08603246602033
touches,1.084773513780182,1.084773513780182
hated,-1.083889944329655,1.083889944329655
story plot,-1.083329620094083,1.083329620094083
sleeper,1.08320672704415,1.08320672704415
beginning movie,-1.0821508019265336,1.0821508019265336
inexplicably,-1.0820917121664548,1.0820917121664548
pedestrian,-1.0819054856712507,1.0819054856712507
costs,-1.0815669469796816,1.0815669469796816
michael jackson,1.081433944027944,1.081433944027944
good unfortunately,-1.0812257030042116,1.0812257030042116
wears,-1.0807823929994942,1.0807823929994942
just watch,1.079606176196137,1.079606176196137
movie terrible,-1.0794805173052626,1.0794805173052626
innocent,1.0793335279568375,1.0793335279568375
time watch,1.079164528794005,1.079164528794005
brainless,-1.0789261975463131,1.0789261975463131
really cool,1.0783767248012992,1.0783767248012992
good series,1.0779060114601433,1.0779060114601433
manipulative,-1.0775516338403246,1.0775516338403246
ariel,-1.076649824626081,1.076649824626081
diesel,1.076374218637322,1.076374218637322
gritty,1.07550683884482,1.07550683884482
paranormal,-1.0751661291886812,1.0751661291886812
ramones,1.0750127272167251,1.0750127272167251
awfully,-1.0749470154678098,1.0749470154678098
plant,1.0749336949827768,1.0749336949827768
ignore,1.074790993753441,1.074790993753441
lot fun,1.0743997829223642,1.0743997829223642
does great,1.0743052379313855,1.0743052379313855
marvellous,1.0740982769985825,1.0740982769985825
cool,1.073174110287595,1.073174110287595
revenge,-1.072728328403894,1.072728328403894
saving grace,-1.072435365125485,1.072435365125485
work art,1.0710479899561614,1.0710479899561614
moving,1.0706506222624295,1.0706506222624295
appreciate,1.0700125089701884,1.0700125089701884
voodoo,-1.0687462042737168,1.0687462042737168
stilted,-1.0685926297820543,1.0685926297820543
ve fan,1.0682479604491792,1.0682479604491792
way long,-1.0681548101227194,1.0681548101227194
ruby,1.0678612625780421,1.0678612625780421
mansfield,-1.0673783071167058,1.0673783071167058
helps,1.0672224944838886,1.0672224944838886
film big,-1.0661411608277742,1.0661411608277742
single mother,1.0660625594388313,1.0660625594388313
titles,-1.066004248163922,1.066004248163922
idiocracy,1.0649495387532713,1.0649495387532713
unmemorable,-1.0648471719612203,1.0648471719612203
direction,-1.0647678663159523,1.0647678663159523
say disappointed,-1.0646544381284115,1.0646544381284115
exception,-1.0639299548877477,1.0639299548877477
manages,1.063824000329009,1.063824000329009
cerebral,1.0619249561364665,1.0619249561364665
recommend fans,1.06149048140591,1.06149048140591
failing,-1.0612770510648777,1.0612770510648777
snowy,1.0600935810594725,1.0600935810594725
really wanted,-1.059220150676012,1.059220150676012
job considering,-1.0591873711585962,1.0591873711585962
spring,1.0569311373546781,1.0569311373546781
obvious,-1.0559908669763554,1.0559908669763554
distorted,-1.0559535395023278,1.0559535395023278
miserably,-1.055917103962961,1.055917103962961
undermined,-1.0558176959824583,1.0558176959824583
known better,-1.0550063453242062,1.0550063453242062
steals,1.0549852894755434,1.0549852894755434
really disappointed,-1.054948151533622,1.054948151533622
said love,1.0548451280320084,1.0548451280320084
filmmakers,-1.0545121621846831,1.0545121621846831
british comedy,1.0540717489095328,1.0540717489095328
thunderbirds,-1.0538728234989603,1.0538728234989603
felt like,-1.0515032753914286,1.0515032753914286
enjoying,1.0505147852929968,1.0505147852929968
left,-1.050136966528079,1.050136966528079
appears,-1.0498124583428297,1.0498124583428297
mst version,-1.049626869633683,1.049626869633683
completist,-1.0494561871687418,1.0494561871687418
wrote,-1.0493276631681974,1.0493276631681974
falls,-1.0492793371631446,1.0492793371631446
meadows,1.0481222343895504,1.0481222343895504
knowing,1.048067954514593,1.048067954514593
delightfully,1.0476094849114144,1.0476094849114144
relax,1.0471136577547855,1.0471136577547855
writing,-1.0469568222402807,1.0469568222402807
australian,1.0469137028311613,1.0469137028311613
faults,1.046839896619158,1.046839896619158
completely lost,-1.0466916626074867,1.0466916626074867
thespian,-1.0464861548692341,1.0464861548692341
disagree,1.0464007927938024,1.0464007927938024
stupidity,-1.0463662267440643,1.0463662267440643
heart,1.0459955561487302,1.0459955561487302
say bad,1.0444108046180287,1.0444108046180287
second coming,-1.0442638813718799,1.0442638813718799
objectively,-1.0442042914062954,1.0442042914062954
zero,-1.0437587387856269,1.0437587387856269
good night,-1.043078483698104,1.043078483698104
dramas,1.0429119465637324,1.0429119465637324
operas,-1.0426531081182728,1.0426531081182728
did expect,-1.0423750411533397,1.0423750411533397
movie lot,1.0421126928004385,1.0421126928004385
rudy ray,1.041984698748815,1.041984698748815
tell truth,1.0410755209131415,1.0410755209131415
endlessly,-1.0401135168025766,1.0401135168025766
todd,1.0400646275566787,1.0400646275566787
slice,1.0397127509441317,1.0397127509441317
interminable,-1.0395141558267924,1.0395141558267924
exercise,-1.039249112542062,1.039249112542062
collection,1.0391207629353103,1.0391207629353103
wrong,-1.0388312369984778,1.0388312369984778
original story,-1.0377927468830508,1.0377927468830508
